rank,selected,objective_profile,objective_score,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,activation_prec,kv_bits,active_params_B,total_params_B,architecture_family,attention_type,mla_kv_latent,mla_q_latent,nsa_select_top_k,nsa_window,csa_block,csa_top_k,csa_dim,indexshare_buckets,indexshare_top_k,indexshare_dim,msa_window,msa_dilated_top_k,msa_global_top_k,yoco_self_attn_layers,yoco_share_pattern,cp,cp_method,rope_method,rope_factor,mtp_depth,tp,pp,dp,state_layers,attention_layers,placement_strategy,local_attn_layers,local_window,moe_style,n_experts,top_k,expert_dim,ep,vocab_size,predicted_loss,loss_ci_low,loss_ci_high,uncertainty_total_pct,training_tps,training_tps_per_gpu,serving_tbt_ms,serving_ttft_ms,training_memory_gb,memory_gb,confidence
1,True,serving_cost,0.27499073,15360,10,120,128,1,40960,fp8,fp8,bf16,4,27.572613,27.572613,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.7190,2.3537,3.0843,13.43,73339,9167,2.8,1523.1,7.3,115.6,low
2,False,serving_cost,0.30277147,14336,13,112,128,1,37888,fp8,fp8,bf16,4,27.492463,27.492463,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,13,none,0,0,dense,0,0,0,1,32000,2.6088,2.3084,2.9091,11.51,63024,7878,3.5,1782.8,7.3,116.2,low
3,False,serving_cost,0.30592929,15360,11,120,128,8,40960,fp8,fp8,bf16,4,28.31189,28.31189,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,11,none,0,0,dense,0,0,0,1,65536,2.6519,2.3312,2.9726,12.09,66681,8335,3.1,1654.2,7.5,118.5,low
4,False,serving_cost,0.32117540,15360,9,240,64,16,40960,bf16,fp8,bf16,4,29.381376,29.381376,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,9,none,0,0,dense,0,0,0,1,256000,2.7136,2.3460,3.0812,13.55,68331,8541,2.7,1812.9,8.0,114.4,low
5,False,serving_cost,0.33395206,15360,10,240,64,8,40960,bf16,fp8,bf16,8,27.690578,27.690578,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6366,2.2949,2.9783,12.96,61906,7738,3.0,1988.0,7.6,116.7,low
6,False,serving_cost,0.33475931,16384,7,64,256,1,44032,fp8,fp8,bf16,4,27.35548,27.35548,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,7,none,0,0,dense,0,0,0,1,256000,3.0193,2.5108,3.5278,16.84,90475,11309,2.8,1366.1,7.2,116.5,low
7,False,serving_cost,0.35194093,15360,9,120,128,8,40960,bf16,fp8,bf16,8,29.381376,29.381376,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,9,none,0,0,dense,0,0,0,1,256000,2.6790,2.3246,3.0334,13.23,72372,9047,3.6,1435.9,8.0,118.9,medium
8,False,serving_cost,0.35622653,15360,8,240,64,40,40960,fp8,fp8,bf16,4,27.368079,27.368079,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8350,2.4253,3.2447,14.45,85040,10630,3.5,1599.5,7.2,115.6,low
9,False,serving_cost,0.35788784,15360,10,240,64,24,40960,fp8,fp8,bf16,4,28.005151,28.005151,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,10,none,0,0,dense,0,0,0,1,128256,2.6860,2.3406,3.0313,12.86,68525,8566,3.3,1943.6,7.4,118.2,low
10,False,serving_cost,0.36170852,16384,8,64,192,64,44032,fp8,fp8,bf16,4,27.271627,27.271627,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,8,1,8,0,8,none,0,0,dense,0,0,0,1,256000,2.8577,2.4367,3.2788,14.73,78905,9863,3.6,1272.1,7.3,121.4,low
