rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
1,True,True,baseline,baseline,0.0,True,baseline,0.0,8,4096,36,64,64,8,11520,bf16,16,8.09,1.8455,9525,9.08,42.19,19.91,0.07,medium
2,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 12672,high,2.75,False,architecture,10.004,8,4096,34,64,64,64,12672,bf16,16,9.21,2.0301,10572,6.62,37.53,2.83,0.531,high
3,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 12096,medium,1.5,False,architecture,10.026,8,4096,35,64,64,64,12096,bf16,16,9.19,2.0305,10495,6.77,37.82,2.84,0.547,high
4,False,False,n_kv_heads: 8 -> 64,low,0.25,False,architecture,10.059,8,4096,36,64,64,64,11520,bf16,16,9.15,2.0311,10432,6.91,38.08,2.85,0.562,high
5,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 12096,medium,2.25,False,architecture,10.113,8,4096,34,64,64,64,12096,bf16,16,8.97,2.0321,10801,6.57,36.74,2.78,0.531,high
6,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 64,low,1.0,False,architecture,10.14,8,4096,35,64,64,64,11520,bf16,16,8.94,2.0326,10727,6.72,37.02,2.79,0.547,high
7,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12672,medium,2.0,False,architecture,10.14,8,4096,37,64,64,32,12672,bf16,16,9.26,2.0326,10714,6.87,36.99,2.6,0.289,high
8,False,False,n_kv_heads: 8 -> 64; ffn_dim: 11520 -> 10944,low,0.75,False,architecture,10.18,8,4096,36,64,64,64,10944,bf16,16,8.9,2.0334,10668,6.87,37.25,2.79,0.562,high
9,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12096,medium,2.25,False,architecture,10.193,8,4096,38,64,64,32,12096,bf16,16,9.2,2.0336,10684,7.01,37.11,2.6,0.297,high
10,False,False,n_kv_heads: 8 -> 32; ffn_dim: 11520 -> 12672,medium,1.25,False,architecture,10.216,8,4096,36,64,64,32,12672,bf16,16,9.06,2.034,11008,6.68,35.99,2.55,0.281,high
11,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 64,medium,1.75,False,architecture,10.228,8,4096,34,64,64,64,11520,bf16,16,8.73,2.0342,11039,6.53,35.96,2.72,0.531,high
