rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,4608,27,72,64,72,12288,bf16,bf16,16,4.88,40.43,fine,128,4,768,1,1.8845,16190,6.2,11.5,medium
2,4608,27,72,64,72,12288,bf16,bf16,16,4.88,40.43,fine,128,4,768,2,1.8845,14015,6.1,7.2,medium
3,4608,27,72,64,72,12288,bf16,bf16,16,4.88,40.43,fine,128,4,768,4,1.8845,12976,6.1,5.1,medium
4,4608,27,72,64,72,12288,bf16,bf16,16,4.88,40.43,fine,128,4,768,8,1.8845,12484,6.1,4.0,medium
5,4608,26,72,64,72,12288,bf16,bf16,16,4.71,38.94,fine,128,4,768,1,1.8876,16811,6.0,11.1,medium
6,4608,26,72,64,72,12288,bf16,bf16,16,4.71,38.94,fine,128,4,768,2,1.8876,14553,5.9,7.0,medium
7,4608,26,72,64,72,12288,bf16,bf16,16,4.71,38.94,fine,128,4,768,4,1.8876,13474,5.9,4.9,medium
8,4608,26,72,64,72,12288,bf16,bf16,16,4.71,38.94,fine,128,4,768,8,1.8876,12963,5.9,3.9,medium
9,4608,27,72,64,72,12288,bf16,bf16,8,4.88,40.43,fine,128,4,768,1,1.8946,16190,5.5,10.5,medium
10,4608,27,72,64,72,12288,bf16,bf16,8,4.88,40.43,fine,128,4,768,2,1.8946,14015,5.4,6.3,medium
11,4608,27,72,64,72,12288,bf16,bf16,8,4.88,40.43,fine,128,4,768,4,1.8946,12976,5.4,4.1,medium
12,4608,27,72,64,72,12288,bf16,bf16,8,4.88,40.43,fine,128,4,768,8,1.8946,12484,5.4,3.1,medium
13,4608,26,72,64,72,12288,bf16,bf16,8,4.71,38.94,fine,128,4,768,1,1.8977,16811,5.3,10.2,medium
