rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,1,1.7526,19099,4.2,25.7,medium
2,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,2,1.7526,14615,4.2,17.5,medium
3,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,4,1.7526,13073,4.2,13.4,medium
4,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,8,1.7526,12654,4.2,11.3,medium
5,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,16,1.7526,1573,4.3,10.3,medium
6,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,32,1.7526,1529,4.3,9.8,medium
7,9216,52,72,128,72,24576,bf16,bf16,16,35.92,309.75,fine,256,8,768,64,1.7526,1508,4.3,9.5,medium
8,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,1,1.7543,18102,3.4,25.1,medium
9,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,2,1.7543,13554,3.3,15.6,medium
10,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,4,1.7543,12035,3.3,10.8,medium
11,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,8,1.7543,11626,3.3,8.5,medium
12,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,16,1.7543,1373,3.5,7.3,medium
13,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,32,1.7543,1334,3.5,6.7,medium
14,9216,60,72,128,36,24576,bf16,bf16,16,36.26,352.22,fine,256,8,768,64,1.7543,1316,3.5,6.4,medium
15,6144,76,48,128,48,16384,bf16,bf16,16,34.82,568.44,fine,256,8,1536,2,1.7566,15555,4.8,24.4,medium
16,6144,76,48,128,48,16384,bf16,bf16,16,34.82,568.44,fine,256,8,1536,4,1.7566,13911,4.8,16.4,medium
17,6144,76,48,128,48,16384,bf16,bf16,16,34.82,568.44,fine,256,8,1536,8,1.7566,13213,4.8,12.4,medium
18,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,1,1.7570,19394,3.1,23.4,medium
19,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,2,1.7570,14521,3.1,14.6,medium
20,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,4,1.7570,12894,3.1,10.1,medium
21,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,8,1.7570,12455,3.1,7.9,medium
22,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,16,1.7570,1471,3.2,6.8,medium
23,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,32,1.7570,1430,3.2,6.3,medium
24,9216,56,72,128,36,24576,bf16,bf16,16,33.88,328.78,fine,256,8,768,64,1.7570,1410,3.2,6.0,medium
25,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,1,1.7575,17645,3.0,24.3,medium
26,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,2,1.7575,13081,2.9,14.2,medium
27,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,4,1.7575,11577,2.9,9.1,medium
28,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,8,1.7575,11173,2.9,6.6,medium
29,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,16,1.7575,1291,3.1,5.3,medium
30,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,32,1.7575,1254,3.1,4.7,medium
31,9216,64,72,128,18,24576,bf16,bf16,16,35.92,372.94,fine,256,8,768,64,1.7575,1237,3.1,4.4,medium
32,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,1,1.7598,18820,2.8,22.8,medium
33,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,2,1.7598,13952,2.7,13.3,medium
34,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,4,1.7598,12348,2.7,8.6,medium
35,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,8,1.7598,11918,2.7,6.2,medium
36,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,16,1.7598,1377,2.9,5.0,medium
37,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,32,1.7598,1338,2.9,4.4,medium
38,9216,60,72,128,18,24576,bf16,bf16,16,33.71,349.67,fine,256,8,768,64,1.7598,1319,2.9,4.1,medium
39,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,1,1.7615,18002,2.6,23.1,medium
40,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,2,1.7615,13276,2.6,13.0,medium
41,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,4,1.7615,11730,2.6,7.9,medium
42,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,8,1.7615,11315,2.6,5.4,medium
43,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,16,1.7615,1293,2.7,4.1,medium
44,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,32,1.7615,1256,2.7,3.5,medium
45,9216,64,72,128,9,24576,bf16,bf16,16,34.56,371.58,fine,256,8,768,64,1.7615,1239,2.7,3.2,medium
46,9216,36,72,128,72,24576,bf16,bf16,16,37.28,606.0,fine,256,8,2304,1,1.7619,21329,3.1,40.7,medium
47,9216,36,72,128,72,24576,bf16,bf16,16,37.28,606.0,fine,256,8,2304,2,1.7619,18979,3.1,23.6,medium
48,9216,36,72,128,72,24576,bf16,bf16,16,37.28,606.0,fine,256,8,2304,4,1.7619,18663,3.1,15.1,medium
49,9216,36,72,128,72,24576,bf16,bf16,16,37.28,606.0,fine,256,8,2304,8,1.7619,17825,3.1,10.8,medium
50,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,1,1.7620,21168,2.1,40.7,medium
51,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,2,1.7620,18624,2.1,21.7,medium
52,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,4,1.7620,18288,2.1,12.2,medium
53,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,8,1.7620,17397,2.1,7.4,medium
54,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,16,1.7620,2053,2.1,5.1,medium
55,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,32,1.7620,2000,2.2,3.9,medium
56,9216,40,72,128,18,24576,bf16,bf16,16,36.26,668.18,fine,256,8,2304,64,1.7620,1975,2.2,3.3,medium
57,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,1,1.7621,19099,3.1,22.0,medium
58,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,2,1.7621,14615,3.1,13.8,medium
59,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,4,1.7621,13073,3.1,9.7,medium
60,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,8,1.7621,12654,3.1,7.6,medium
61,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,16,1.7621,1573,3.2,6.6,medium
62,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,32,1.7621,1529,3.2,6.1,medium
63,9216,52,72,128,72,24576,bf16,bf16,8,35.92,309.75,fine,256,8,768,64,1.7621,1508,3.2,5.8,medium
64,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,1,1.7648,21488,1.9,39.9,medium
65,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,2,1.7648,18871,1.9,20.9,medium
66,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,4,1.7648,18526,1.9,11.4,medium
67,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,8,1.7648,17612,1.9,6.7,medium
68,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,16,1.7648,2056,1.9,4.3,medium
69,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,32,1.7648,2003,2.0,3.1,medium
70,9216,40,72,128,9,24576,bf16,bf16,16,35.41,667.33,fine,256,8,2304,64,1.7648,1978,2.0,2.5,medium
71,6144,76,48,128,48,16384,bf16,bf16,8,34.82,568.44,fine,256,8,1536,2,1.7661,15555,3.7,20.9,medium
72,6144,76,48,128,48,16384,bf16,bf16,8,34.82,568.44,fine,256,8,1536,4,1.7661,13911,3.7,12.8,medium
73,6144,76,48,128,48,16384,bf16,bf16,8,34.82,568.44,fine,256,8,1536,8,1.7661,13213,3.7,8.8,medium
74,6144,76,48,128,48,16384,bf16,bf16,8,34.82,568.44,fine,256,8,1536,64,1.7661,1553,3.8,5.3,medium
75,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,1,1.7662,22838,2.2,38.0,medium
76,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,2,1.7662,20164,2.2,20.9,medium
77,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,4,1.7662,19809,2.2,12.4,medium
78,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,8,1.7662,18867,2.2,8.1,medium
79,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,16,1.7662,2274,2.3,5.9,medium
80,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,32,1.7662,2216,2.3,4.9,medium
81,9216,36,72,128,36,24576,bf16,bf16,16,34.22,602.95,fine,256,8,2304,64,1.7662,2189,2.3,4.3,medium
82,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,1,1.7665,19394,2.6,21.5,medium
83,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,2,1.7665,14521,2.6,12.6,medium
84,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,4,1.7665,12894,2.6,8.2,medium
85,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,8,1.7665,12455,2.6,6.0,medium
86,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,16,1.7665,1471,2.7,4.8,medium
87,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,32,1.7665,1430,2.7,4.3,medium
88,9216,56,72,128,36,24576,bf16,bf16,8,33.88,328.78,fine,256,8,768,64,1.7665,1410,2.7,4.0,medium
89,6144,88,48,128,12,16384,bf16,bf16,16,35.27,653.14,fine,256,8,1536,64,1.7666,1356,3.5,3.8,medium
90,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,1,1.7693,18820,2.5,21.8,medium
91,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,2,1.7693,13952,2.5,12.3,medium
92,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,4,1.7693,12348,2.5,7.5,medium
93,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,8,1.7693,11918,2.5,5.1,medium
94,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,16,1.7693,1377,2.6,4.0,medium
95,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,32,1.7693,1338,2.6,3.4,medium
96,9216,60,72,128,18,24576,bf16,bf16,8,33.71,349.67,fine,256,8,768,64,1.7693,1319,2.6,3.1,medium
97,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,1,1.7709,18002,2.5,22.5,medium
98,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,2,1.7709,13276,2.5,12.4,medium
99,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,4,1.7709,11730,2.5,7.4,medium
100,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,8,1.7709,11315,2.5,4.8,medium
101,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,16,1.7709,1293,2.6,3.6,medium
102,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,32,1.7709,1256,2.6,2.9,medium
103,9216,64,72,128,9,24576,bf16,bf16,8,34.56,371.58,fine,256,8,768,64,1.7709,1239,2.6,2.6,medium
104,9216,32,72,128,72,24576,bf16,bf16,16,33.2,538.74,fine,256,8,2304,1,1.7714,23992,2.8,36.2,medium
105,9216,32,72,128,72,24576,bf16,bf16,16,33.2,538.74,fine,256,8,2304,2,1.7714,21348,2.8,21.0,medium
106,9216,32,72,128,72,24576,bf16,bf16,16,33.2,538.74,fine,256,8,2304,4,1.7714,20994,2.8,13.4,medium
107,9216,32,72,128,72,24576,bf16,bf16,16,33.2,538.74,fine,256,8,2304,8,1.7714,20051,2.8,9.6,medium
108,9216,52,72,128,72,24576,bf16,fp8,16,35.92,309.75,fine,256,8,768,1,1.7716,32117,3.9,16.5,medium
109,9216,52,72,128,72,24576,bf16,fp8,16,35.92,309.75,fine,256,8,768,2,1.7716,25553,3.9,12.4,medium
110,9216,52,72,128,72,24576,bf16,fp8,16,35.92,309.75,fine,256,8,768,4,1.7716,23165,3.9,10.3,medium
111,9216,52,72,128,72,24576,bf16,fp8,16,35.92,309.75,fine,256,8,768,8,1.7716,22504,3.9,9.3,medium
112,6144,84,48,128,24,16384,bf16,bf16,8,35.27,625.06,fine,256,8,1536,8,1.7717,12614,3.4,7.6,medium
113,6144,84,48,128,24,16384,bf16,bf16,8,35.27,625.06,fine,256,8,1536,32,1.7717,1433,3.6,4.3,medium
114,6144,84,48,128,24,16384,bf16,bf16,8,35.27,625.06,fine,256,8,1536,64,1.7717,1414,3.6,3.7,medium
115,9216,60,72,128,36,24576,bf16,fp8,16,36.26,352.22,fine,256,8,768,1,1.7732,31825,3.1,14.6,medium
116,9216,60,72,128,36,24576,bf16,fp8,16,36.26,352.22,fine,256,8,768,2,1.7732,24600,3.0,9.9,medium
117,9216,60,72,128,36,24576,bf16,fp8,16,36.26,352.22,fine,256,8,768,4,1.7732,22072,3.0,7.5,medium
118,9216,60,72,128,36,24576,bf16,fp8,16,36.26,352.22,fine,256,8,768,8,1.7732,21382,3.0,6.3,medium
119,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,1,1.7742,21488,1.8,39.5,medium
120,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,2,1.7742,18871,1.8,20.6,medium
121,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,4,1.7742,18526,1.8,11.1,medium
122,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,8,1.7742,17612,1.8,6.3,medium
123,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,16,1.7742,2056,1.9,4.0,medium
124,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,32,1.7742,2003,1.9,2.8,medium
125,9216,40,72,128,9,24576,bf16,bf16,8,35.41,667.33,fine,256,8,2304,64,1.7742,1978,1.9,2.2,medium
126,6144,76,48,128,48,16384,bf16,fp8,16,34.82,568.44,fine,256,8,1536,4,1.7755,25329,4.5,11.8,medium
127,6144,76,48,128,48,16384,bf16,fp8,16,34.82,568.44,fine,256,8,1536,8,1.7755,24211,4.5,9.8,medium
128,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,1,1.7757,22838,1.9,36.7,medium
129,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,2,1.7757,20164,1.9,19.6,medium
130,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,4,1.7757,19809,1.9,11.1,medium
131,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,8,1.7757,18867,1.9,6.8,medium
132,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,16,1.7757,2274,2.0,4.7,medium
133,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,32,1.7757,2216,2.0,3.6,medium
134,9216,36,72,128,36,24576,bf16,bf16,8,34.22,602.95,fine,256,8,2304,64,1.7757,2189,2.0,3.1,medium
135,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,1,1.7760,34095,2.9,13.7,medium
136,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,2,1.7760,26355,2.8,9.3,medium
137,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,4,1.7760,23647,2.8,7.0,medium
138,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,8,1.7760,22907,2.8,5.9,medium
139,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,16,1.7760,2913,2.9,5.4,medium
140,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,32,1.7760,2831,2.9,5.1,medium
141,9216,56,72,128,36,24576,bf16,fp8,16,33.88,328.78,fine,256,8,768,64,1.7760,2792,2.9,5.0,medium
142,6144,88,48,128,12,16384,bf16,bf16,8,35.27,653.14,fine,256,8,1536,64,1.7761,1356,3.3,2.7,medium
143,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,1,1.7765,30043,2.6,13.3,medium
144,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,2,1.7765,23186,2.6,8.2,medium
145,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,4,1.7765,20792,2.6,5.7,medium
146,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,8,1.7765,20139,2.6,4.4,medium
147,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,16,1.7765,2550,2.7,3.8,medium
148,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,32,1.7765,2478,2.7,3.5,medium
149,9216,64,72,128,18,24576,bf16,fp8,16,35.92,372.94,fine,256,8,768,64,1.7765,2444,2.7,3.3,medium
150,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,1,1.7788,32043,2.5,12.5,medium
151,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,2,1.7788,24730,2.4,7.7,medium
152,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,4,1.7788,22177,2.4,5.3,medium
153,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,8,1.7788,21480,2.4,4.2,medium
154,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,16,1.7788,2720,2.5,3.6,medium
155,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,32,1.7788,2644,2.5,3.3,medium
156,9216,60,72,128,18,24576,bf16,fp8,16,33.71,349.67,fine,256,8,768,64,1.7788,2607,2.5,3.1,medium
157,9216,64,144,64,9,24576,bf16,bf16,16,33.88,370.9,fine,256,8,768,2,1.7797,13624,2.4,12.4,medium
158,9216,64,144,64,9,24576,bf16,bf16,16,33.88,370.9,fine,256,8,768,4,1.7797,12001,2.4,7.3,medium
159,9216,64,144,64,9,24576,bf16,bf16,16,33.88,370.9,fine,256,8,768,8,1.7797,11567,2.4,4.8,medium
160,9216,64,144,64,9,24576,bf16,bf16,16,33.88,370.9,fine,256,8,768,32,1.7797,1259,2.6,2.9,medium
161,9216,64,144,64,9,24576,bf16,bf16,16,33.88,370.9,fine,256,8,768,64,1.7797,1242,2.6,2.6,medium
162,12288,36,96,128,24,32768,bf16,bf16,16,36.12,373.14,fine,256,8,1024,1,1.7800,21267,2.1,23.9,medium
163,12288,36,96,128,24,32768,bf16,bf16,16,36.12,373.14,fine,256,8,1024,2,1.7800,16164,2.1,13.8,medium
164,12288,36,96,128,24,32768,bf16,bf16,16,36.12,373.14,fine,256,8,1024,4,1.7800,14427,2.1,8.7,medium
