rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
1,False,False,n_kv_heads: 8 -> 32; ffn_dim: 14336 -> 15040,low,0.75,False,architecture,-0.627,8,4096,32,32,128,32,15040,bf16,16,8.32,2.012,10415,6.39,38.35,2.59,0.5,high
2,False,False,n_kv_heads: 8 -> 32,low,0.25,False,architecture,-0.53,8,4096,32,32,128,32,14336,bf16,16,8.05,2.014,10671,6.34,37.45,2.53,0.5,high
3,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 32; ffn_dim: 14336 -> 15040,medium,1.5,False,architecture,-0.529,8,4096,31,32,128,32,15040,bf16,16,8.07,2.014,10751,6.19,37.15,2.52,0.484,high
4,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 16; ffn_dim: 14336 -> 15744,medium,2.0,False,architecture,-0.523,8,4096,33,32,128,16,15744,bf16,16,8.31,2.0141,10765,6.35,37.04,2.35,0.258,high
5,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 32; ffn_dim: 14336 -> 15744,high,2.75,False,architecture,-0.516,8,4096,30,32,128,32,15744,bf16,16,8.08,2.0142,10848,6.04,36.8,2.51,0.469,high
6,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 16; ffn_dim: 14336 -> 15040,medium,2.25,False,architecture,-0.505,8,4096,34,32,128,16,15040,bf16,16,8.26,2.0145,10723,6.49,37.21,2.34,0.266,high
7,False,False,n_kv_heads: 8 -> 16; ffn_dim: 14336 -> 15744,medium,1.25,False,architecture,-0.432,8,4096,32,32,128,16,15744,bf16,16,8.06,2.0159,11100,6.16,35.92,2.28,0.25,high
8,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 32,low,1.0,False,architecture,-0.432,8,4096,31,32,128,32,14336,bf16,16,7.8,2.0159,11015,6.15,36.28,2.46,0.484,high
9,False,False,n_kv_heads: 8 -> 32; ffn_dim: 14336 -> 13632,low,0.75,False,architecture,-0.426,8,4096,32,32,128,32,13632,bf16,16,7.77,2.0161,10940,6.29,36.55,2.47,0.5,high
10,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 32; ffn_dim: 14336 -> 15040,medium,2.25,False,architecture,-0.424,8,4096,30,32,128,32,15040,bf16,16,7.82,2.0161,11109,5.99,35.95,2.45,0.469,high
11,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 16; ffn_dim: 14336 -> 15040,medium,1.5,False,architecture,-0.42,8,4096,33,32,128,16,15040,bf16,16,8.02,2.0162,11047,6.3,36.11,2.28,0.258,high
12,False,False,n_layers: 32 -> 34; ffn_dim: 14336 -> 15744,medium,2.5,False,architecture,-0.404,8,4096,34,32,128,8,15744,bf16,16,8.27,2.0165,10601,6.39,37.66,2.21,0.133,high
13,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 16,medium,1.75,False,architecture,-0.395,8,4096,34,32,128,16,14336,bf16,16,7.96,2.0167,11011,6.44,36.25,2.28,0.266,high
14,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 16; ffn_dim: 14336 -> 15744,medium,2.0,False,architecture,-0.335,8,4096,31,32,128,16,15744,bf16,16,7.82,2.0179,11458,5.96,34.8,2.22,0.242,high
15,False,False,n_kv_heads: 8 -> 16; ffn_dim: 14336 -> 15040,low,0.75,False,architecture,-0.329,8,4096,32,32,128,16,15040,bf16,16,7.79,2.018,11392,6.11,35.02,2.22,0.25,high
16,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 32; ffn_dim: 14336 -> 13632,medium,1.5,False,architecture,-0.328,8,4096,31,32,128,32,13632,bf16,16,7.54,2.018,11292,6.1,35.41,2.4,0.484,high
17,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 32,medium,1.75,False,architecture,-0.326,8,4096,30,32,128,32,14336,bf16,16,7.56,2.0181,11381,5.95,35.11,2.39,0.469,high
18,False,False,n_layers: 32 -> 33; ffn_dim: 14336 -> 15744,medium,1.75,False,architecture,-0.32,8,4096,33,32,128,8,15744,bf16,16,8.03,2.0182,10921,6.2,36.55,2.15,0.129,high
