rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,2048,17,32,64,32,5440,bf16,bf16,16,0.98,0.98,dense,0,0,0,1,2.3624,13112,4.4,2.2,high
2,2496,12,39,64,39,6656,bf16,bf16,16,1.06,1.06,dense,0,0,0,1,2.3633,13347,3.6,2.3,high
3,2176,13,17,128,17,5824,bf16,bf16,16,0.88,0.88,dense,0,0,0,1,2.3658,14838,3.5,1.9,high
4,2560,11,10,256,5,6848,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3875,16899,3.2,2.0,high
5,2048,20,16,128,1,5440,bf16,bf16,16,0.98,0.98,dense,0,0,0,1,2.3927,12893,4.7,1.9,medium
6,2304,15,18,128,1,6144,bf16,bf16,16,0.95,0.95,dense,0,0,0,1,2.4036,13449,3.8,1.9,medium
7,2816,9,44,64,11,7488,bf16,bf16,16,0.93,0.93,dense,0,0,0,1,2.4125,18292,2.7,1.9,high
8,3008,7,47,64,47,8000,bf16,bf16,16,0.95,0.95,dense,0,0,0,1,2.4317,19451,2.5,2.0,high
9,3648,5,57,64,57,9728,bf16,bf16,16,1.03,1.03,dense,0,0,0,1,2.4855,18961,2.3,2.2,high
10,3072,7,12,256,1,8192,bf16,bf16,16,0.87,0.87,dense,0,0,0,1,2.4917,20680,2.3,1.7,medium
11,3328,6,13,256,1,8896,bf16,bf16,16,0.89,0.89,dense,0,0,0,1,2.5145,20802,2.1,1.8,medium
12,4096,4,64,64,64,10944,bf16,bf16,16,1.07,1.07,dense,0,0,0,1,2.5338,18992,2.1,2.3,high
