rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,6144,19,48,128,12,16384,fp4,fp4,16,7.92,7.92,dense,0,0,0,1,2.7521,77275,2.2,0.6,medium
2,6144,18,48,128,24,16384,fp4,fp4,16,7.87,7.87,dense,0,0,0,1,2.7542,77953,2.1,0.7,medium
3,3072,62,24,128,24,8192,fp4,fp4,16,7.22,7.22,dense,0,0,0,1,2.7590,48818,7.0,1.2,medium
4,3072,61,24,128,24,8192,fp4,fp4,16,7.11,7.11,dense,0,0,0,1,2.7593,49616,6.8,1.2,medium
5,3072,60,24,128,24,8192,fp4,fp4,16,6.99,6.99,dense,0,0,0,1,2.7597,50441,6.7,1.1,medium
6,6144,18,48,128,12,16384,fp4,fp4,16,7.53,7.53,dense,0,0,0,1,2.7599,81536,2.1,0.6,medium
7,3072,59,24,128,24,8192,fp4,fp4,16,6.88,6.88,dense,0,0,0,1,2.7601,51294,6.6,1.1,medium
8,3072,58,24,128,24,8192,fp4,fp4,16,6.77,6.77,dense,0,0,0,1,2.7605,52176,6.5,1.1,medium
9,6144,19,48,128,12,16384,fp4,fp4,8,7.92,7.92,dense,0,0,0,1,2.7621,77275,2.2,0.6,medium
10,6144,17,48,128,24,16384,fp4,fp4,16,7.45,7.45,dense,0,0,0,1,2.7627,82504,2.0,0.7,medium
11,6144,16,48,128,48,16384,fp4,fp4,16,7.64,7.64,dense,0,0,0,1,2.7636,82628,1.9,0.9,medium
12,6144,17,48,128,12,16384,fp4,fp4,16,7.13,7.13,dense,0,0,0,1,2.7684,86294,1.9,0.6,medium
13,3072,66,24,128,12,8192,fp4,fp4,16,7.05,7.05,dense,0,0,0,1,2.7689,46175,7.2,0.8,medium
14,3072,65,24,128,12,8192,fp4,fp4,16,6.94,6.94,dense,0,0,0,1,2.7691,46884,7.1,0.8,medium
15,3072,64,24,128,12,8192,fp4,fp4,16,6.84,6.84,dense,0,0,0,1,2.7694,47615,7.0,0.8,medium
16,3072,61,24,128,24,8192,fp4,fp4,8,7.11,7.11,dense,0,0,0,1,2.7694,49616,6.7,0.8,medium
17,3072,60,24,128,24,8192,fp4,fp4,8,6.99,6.99,dense,0,0,0,1,2.7698,50441,6.6,0.8,medium
18,6144,18,48,128,12,16384,fp4,fp4,8,7.53,7.53,dense,0,0,0,1,2.7699,81536,2.1,0.5,medium
19,3072,59,24,128,24,8192,fp4,fp4,8,6.88,6.88,dense,0,0,0,1,2.7702,51294,6.5,0.8,medium
20,3072,58,24,128,24,8192,fp4,fp4,8,6.77,6.77,dense,0,0,0,1,2.7706,52176,6.4,0.8,medium
21,6144,16,48,128,24,16384,fp4,fp4,16,7.04,7.04,dense,0,0,0,1,2.7721,87619,1.9,0.7,medium
22,6144,15,48,128,48,16384,fp4,fp4,16,7.19,7.19,dense,0,0,0,1,2.7739,88092,1.8,0.8,medium
23,6144,16,48,128,12,16384,fp4,fp4,16,6.74,6.74,dense,0,0,0,1,2.7779,91642,1.8,0.5,medium
24,6144,18,96,64,12,16384,fp4,fp4,16,7.36,7.36,dense,0,0,0,1,2.7784,81802,2.1,0.5,low
25,6144,17,48,128,12,16384,fp4,fp4,8,7.13,7.13,dense,0,0,0,1,2.7785,86294,1.9,0.5,medium
26,6144,15,48,128,24,16384,fp4,fp4,16,6.62,6.62,dense,0,0,0,1,2.7825,93410,1.8,0.6,medium
27,6144,14,48,128,48,16384,fp4,fp4,16,6.74,6.74,dense,0,0,0,1,2.7854,94330,1.7,0.8,medium
28,6144,17,96,64,12,16384,fp4,fp4,16,6.97,6.97,dense,0,0,0,1,2.7870,86576,1.9,0.5,low
29,6144,16,48,128,12,16384,fp4,fp4,8,6.74,6.74,dense,0,0,0,1,2.7880,91642,1.8,0.5,medium
30,6144,15,48,128,12,16384,fp4,fp4,16,6.34,6.34,dense,0,0,0,1,2.7883,97696,1.7,0.5,medium
31,6144,14,48,128,24,16384,fp4,fp4,16,6.21,6.21,dense,0,0,0,1,2.7941,100020,1.6,0.6,medium
32,6144,16,96,64,12,16384,fp4,fp4,16,6.58,6.58,dense,0,0,0,1,2.7965,91941,1.8,0.5,low
33,6144,13,48,128,48,16384,fp4,fp4,16,6.28,6.28,dense,0,0,0,1,2.7982,101518,1.6,0.7,medium
34,6144,15,48,128,12,16384,fp4,fp4,8,6.34,6.34,dense,0,0,0,1,2.7985,97696,1.7,0.5,medium
35,6144,14,48,128,24,16384,fp4,fp4,8,6.21,6.21,dense,0,0,0,1,2.8043,100020,1.6,0.5,medium
36,6144,16,96,64,12,16384,fp4,fp4,8,6.58,6.58,dense,0,0,0,1,2.8066,91941,1.8,0.5,low
37,6144,15,96,64,12,16384,fp4,fp4,16,6.2,6.2,dense,0,0,0,1,2.8070,98015,1.7,0.5,low
38,6144,13,48,128,48,16384,fp4,fp4,8,6.28,6.28,dense,0,0,0,1,2.8084,101518,1.5,0.6,medium
39,6144,14,24,256,12,16384,fp4,fp4,16,6.21,6.21,dense,0,0,0,1,2.8088,103933,1.6,0.6,medium
