rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,2304,17,18,128,9,6144,bf16,bf16,16,1.14,1.14,dense,0,0,0,1,2.3293,12740,4.0,2.4,high
2,2176,17,17,128,17,5824,bf16,bf16,16,1.11,1.11,dense,0,0,0,1,2.3295,13088,4.0,2.4,high
3,2432,14,19,128,19,6464,bf16,bf16,16,1.15,1.15,dense,0,0,0,1,2.3295,13845,3.6,2.5,high
4,2304,15,18,128,18,6144,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3319,14223,3.7,2.4,high
5,2048,19,16,128,16,5440,bf16,bf16,16,1.08,1.08,dense,0,0,0,1,2.3329,13510,4.3,2.4,high
6,2048,21,16,128,8,5440,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3366,13177,4.5,2.3,high
7,2304,16,18,128,9,6144,bf16,bf16,16,1.08,1.08,dense,0,0,0,1,2.3369,13529,3.7,2.2,high
8,2176,16,17,128,17,5824,bf16,bf16,16,1.05,1.05,dense,0,0,0,1,2.3369,13899,3.8,2.3,high
9,2048,18,16,128,16,5440,bf16,bf16,16,1.03,1.03,dense,0,0,0,1,2.3388,14253,4.1,2.3,high
10,2432,13,19,128,19,6464,bf16,bf16,16,1.08,1.08,dense,0,0,0,1,2.3404,14898,3.4,2.3,high
11,2560,14,20,128,5,6848,bf16,bf16,16,1.13,1.13,dense,0,0,0,1,2.3404,16077,3.4,2.3,high
12,2560,12,20,128,20,6848,bf16,bf16,16,1.11,1.11,dense,0,0,0,1,2.3413,17544,3.2,2.4,high
13,2048,20,16,128,8,5440,bf16,bf16,16,1.05,1.05,dense,0,0,0,1,2.3415,13831,4.3,2.2,high
14,2304,14,18,128,18,6144,bf16,bf16,16,1.04,1.04,dense,0,0,0,1,2.3415,15228,3.5,2.3,high
15,2560,13,20,128,10,6848,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3417,16488,3.3,2.3,high
16,1920,20,15,128,15,5120,bf16,bf16,16,1.01,1.01,dense,0,0,0,1,2.3446,14315,4.3,2.2,high
17,2176,15,17,128,17,5824,bf16,bf16,16,0.99,0.99,dense,0,0,0,1,2.3453,14816,3.5,2.2,high
18,2304,15,18,128,9,6144,bf16,bf16,16,1.02,1.02,dense,0,0,0,1,2.3454,14421,3.5,2.1,high
19,2048,17,16,128,16,5440,bf16,bf16,16,0.98,0.98,dense,0,0,0,1,2.3455,15084,3.8,2.2,high
20,2688,11,21,128,21,7168,bf16,bf16,16,1.13,1.13,dense,0,0,0,1,2.3460,17550,3.1,2.4,high
21,2048,19,16,128,8,5440,bf16,bf16,16,1.01,1.01,dense,0,0,0,1,2.3469,14552,4.1,2.1,high
22,2816,11,22,128,11,7488,bf16,bf16,16,1.14,1.14,dense,0,0,0,1,2.3498,16449,3.0,2.3,high
23,1920,19,15,128,15,5120,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3499,15062,4.1,2.1,high
24,2560,13,20,128,5,6848,bf16,bf16,16,1.06,1.06,dense,0,0,0,1,2.3515,17297,3.2,2.1,high
25,2304,13,18,128,18,6144,bf16,bf16,16,0.98,0.98,dense,0,0,0,1,2.3524,16386,3.2,2.1,high
26,2304,17,18,128,9,6144,bf16,fp8,16,1.14,1.14,dense,0,0,0,1,2.3525,24986,3.2,1.3,high
27,2432,14,19,128,19,6464,bf16,fp8,16,1.15,1.15,dense,0,0,0,1,2.3528,26359,2.9,1.4,high
28,2176,17,17,128,17,5824,bf16,fp8,16,1.11,1.11,dense,0,0,0,1,2.3528,25645,3.3,1.4,high
29,2432,12,19,128,19,6464,bf16,bf16,16,1.01,1.01,dense,0,0,0,1,2.3528,16125,3.1,2.2,high
30,2560,12,20,128,20,6848,bf16,bf16,8,1.11,1.11,dense,0,0,0,1,2.3529,17544,3.1,2.3,high
31,2048,16,16,128,16,5440,bf16,bf16,16,0.93,0.93,dense,0,0,0,1,2.3530,16017,3.6,2.1,high
32,2048,18,16,128,8,5440,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3530,15353,3.9,2.0,high
33,2816,10,22,128,22,7488,bf16,bf16,16,1.13,1.13,dense,0,0,0,1,2.3541,17760,2.9,2.4,high
34,2560,12,20,128,10,6848,bf16,bf16,16,1.03,1.03,dense,0,0,0,1,2.3544,17843,3.0,2.1,high
35,2176,14,17,128,17,5824,bf16,bf16,16,0.94,0.94,dense,0,0,0,1,2.3549,15863,3.3,2.1,high
36,2304,14,18,128,9,6144,bf16,bf16,16,0.97,0.97,dense,0,0,0,1,2.3551,15440,3.3,2.0,high
37,2304,15,18,128,18,6144,bf16,fp8,16,1.1,1.1,dense,0,0,0,1,2.3553,26965,3.0,1.3,high
38,2560,11,20,128,20,6848,bf16,bf16,16,1.03,1.03,dense,0,0,0,1,2.3557,19116,3.0,2.2,high
39,1920,18,15,128,15,5120,bf16,bf16,16,0.92,0.92,dense,0,0,0,1,2.3559,15891,3.9,2.0,high
40,2048,19,16,128,16,5440,bf16,fp8,16,1.08,1.08,dense,0,0,0,1,2.3562,26060,3.6,1.3,high
41,2048,19,16,128,4,5440,bf16,bf16,16,0.97,0.97,dense,0,0,0,1,2.3592,15136,4.0,2.0,high
42,2048,17,16,128,8,5440,bf16,bf16,16,0.91,0.91,dense,0,0,0,1,2.3598,16247,3.6,1.9,high
43,2048,21,16,128,8,5440,bf16,fp8,16,1.1,1.1,dense,0,0,0,1,2.3599,25275,3.8,1.2,high
44,2304,16,18,128,9,6144,bf16,fp8,16,1.08,1.08,dense,0,0,0,1,2.3602,26519,3.1,1.2,high
45,2176,16,17,128,17,5824,bf16,fp8,16,1.05,1.05,dense,0,0,0,1,2.3603,27219,3.1,1.3,high
46,2048,15,16,128,16,5440,bf16,bf16,16,0.88,0.88,dense,0,0,0,1,2.3615,17074,3.4,2.0,high
47,2048,18,16,128,16,5440,bf16,fp8,16,1.03,1.03,dense,0,0,0,1,2.3622,27483,3.4,1.3,high
48,2688,10,21,128,21,7168,bf16,bf16,16,1.04,1.04,dense,0,0,0,1,2.3629,19278,2.8,2.2,high
