rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,2304,16,18,128,9,6144,bf16,bf16,8,1.08,1.08,dense,0,0,0,1,2.3485,13529,3.8,2.4,high
2,2048,21,16,128,4,5440,bf16,bf16,16,1.05,1.05,dense,0,0,0,1,2.3597,9833,4.5,2.3,medium
3,1792,25,7,256,7,4800,bf16,bf16,16,1.08,1.08,dense,0,0,0,1,2.3667,10204,5.4,2.7,medium
4,1920,24,30,64,15,5120,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3669,7862,4.8,2.1,medium
5,2240,15,35,64,35,5952,bf16,bf16,8,1.04,1.04,dense,0,0,0,1,2.3729,9789,3.3,1.9,medium
6,2560,12,40,64,40,6848,bf16,bf16,8,1.11,1.11,dense,0,0,0,1,2.3754,9228,3.0,2.0,medium
7,1664,28,26,64,26,4416,bf16,bf16,16,1.03,1.03,dense,0,0,0,1,2.3764,13148,6.4,3.4,high
8,1984,20,31,64,31,5312,bf16,bf16,8,1.07,1.07,dense,0,0,0,1,2.3779,12716,4.5,2.4,medium
9,2816,11,44,64,22,7488,bf16,bf16,8,1.14,1.14,dense,0,0,0,1,2.3782,16449,3.1,2.5,high
10,2368,12,37,64,37,6336,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3834,13949,2.8,1.8,medium
11,2688,11,42,64,42,7168,bf16,fp8,16,1.13,1.13,dense,0,0,0,1,2.3861,29213,2.9,2.0,high
12,2048,22,32,64,8,5440,bf16,fp8,16,1.1,1.1,dense,0,0,0,1,2.3875,15327,4.1,2.1,medium
13,2048,18,16,128,16,5440,bf16,fp8,8,1.03,1.03,dense,0,0,0,1,2.3928,18527,3.6,1.6,medium
14,2048,18,8,256,8,5440,bf16,fp8,8,1.03,1.03,dense,0,0,0,1,2.3964,10029,3.3,1.7,medium
15,1920,20,30,64,30,5120,bf16,fp8,8,1.01,1.01,dense,0,0,0,1,2.3965,27411,3.9,1.6,high
