rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,2304,17,18,128,9,6144,bf16,bf16,16,1.14,1.14,dense,0,0,0,1,2.3293,25644,4.3,2.4,high
2,2176,17,17,128,17,5760,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3304,26509,4.4,2.4,high
3,2048,19,16,128,16,5504,bf16,bf16,16,1.09,1.09,dense,0,0,0,1,2.3319,25993,4.7,2.4,high
4,2304,15,18,128,18,6144,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3319,27222,4.1,2.4,high
5,2048,21,16,128,8,5504,bf16,bf16,16,1.11,1.11,dense,0,0,0,1,2.3354,25016,4.9,2.3,high
6,2304,16,18,128,9,6144,bf16,bf16,16,1.08,1.08,dense,0,0,0,1,2.3369,27215,4.1,2.2,high
7,2048,18,16,128,16,5504,bf16,bf16,16,1.04,1.04,dense,0,0,0,1,2.3378,27411,4.5,2.3,high
8,2176,16,17,128,17,5760,bf16,bf16,16,1.04,1.04,dense,0,0,0,1,2.3379,28133,4.1,2.3,high
9,2432,13,19,128,19,6528,bf16,bf16,16,1.08,1.08,dense,0,0,0,1,2.3396,28559,3.7,2.4,high
10,2048,20,16,128,8,5504,bf16,bf16,16,1.06,1.06,dense,0,0,0,1,2.3403,26245,4.7,2.2,high
11,2560,14,20,128,5,6784,bf16,bf16,16,1.12,1.12,dense,0,0,0,1,2.3413,27122,3.7,2.3,high
12,2304,14,18,128,18,6144,bf16,bf16,16,1.04,1.04,dense,0,0,0,1,2.3415,29125,3.8,2.3,high
13,2560,12,20,128,20,6784,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3420,28539,3.6,2.4,high
14,2560,13,20,128,10,6784,bf16,bf16,16,1.1,1.1,dense,0,0,0,1,2.3425,28173,3.6,2.3,high
15,2048,17,16,128,16,5504,bf16,bf16,16,0.99,0.99,dense,0,0,0,1,2.3445,28992,4.2,2.2,high
16,2304,15,18,128,9,6144,bf16,bf16,16,1.02,1.02,dense,0,0,0,1,2.3454,28990,3.8,2.1,high
17,2048,19,16,128,8,5504,bf16,bf16,16,1.01,1.01,dense,0,0,0,1,2.3458,27601,4.5,2.1,high
18,2688,11,21,128,21,7168,bf16,bf16,16,1.13,1.13,dense,0,0,0,1,2.3460,28531,3.4,2.4,high
19,2176,15,17,128,17,5760,bf16,bf16,16,0.99,0.99,dense,0,0,0,1,2.3463,29969,3.9,2.2,high
20,2816,11,22,128,11,7552,bf16,bf16,16,1.14,1.14,dense,0,0,0,1,2.3491,28099,3.3,2.4,high
21,1920,19,15,128,15,5120,bf16,bf16,16,0.96,0.96,dense,0,0,0,1,2.3499,28863,4.5,2.1,high
22,2432,13,19,128,19,6528,bf16,bf16,8,1.08,1.08,dense,0,0,0,1,2.3512,28559,3.6,2.2,high
23,2048,18,16,128,8,5504,bf16,bf16,16,0.97,0.97,dense,0,0,0,1,2.3518,29105,4.2,2.0,high
