rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
1,4608,28,72,64,72,12288,bf16,bf16,16,7.43,7.43,dense,0,0,0,1,2.0355,11520,5.7,2.4,high
2,4608,31,72,64,36,12288,bf16,bf16,16,7.54,7.54,dense,0,0,0,1,2.0356,11544,5.9,2.2,high
3,4608,30,72,64,36,12288,bf16,bf16,16,7.3,7.3,dense,0,0,0,1,2.0380,11929,5.7,2.1,high
4,4608,27,72,64,72,12288,bf16,bf16,16,7.17,7.17,dense,0,0,0,1,2.0384,11945,5.4,2.3,high
5,4608,32,72,64,18,12288,bf16,bf16,16,7.43,7.43,dense,0,0,0,1,2.0386,11372,5.9,2.0,high
6,4608,33,72,64,9,12288,bf16,bf16,16,7.48,7.48,dense,0,0,0,1,2.0403,11204,6.0,2.0,high
7,4608,29,72,64,36,12288,bf16,bf16,16,7.07,7.07,dense,0,0,0,1,2.0405,12339,5.5,2.1,high
8,4608,31,72,64,18,12288,bf16,bf16,16,7.21,7.21,dense,0,0,0,1,2.0408,11738,5.8,2.0,high
9,4608,26,72,64,72,12288,bf16,bf16,16,6.92,6.92,dense,0,0,0,1,2.0415,12404,5.2,2.2,high
10,4608,32,72,64,9,12288,bf16,bf16,16,7.26,7.26,dense,0,0,0,1,2.0423,11553,5.9,1.9,high
11,4608,30,72,64,18,12288,bf16,bf16,16,6.98,6.98,dense,0,0,0,1,2.0431,12129,5.6,1.9,high
12,4608,28,72,64,36,12288,bf16,bf16,16,6.84,6.84,dense,0,0,0,1,2.0432,12779,5.3,2.0,high
13,4608,31,72,64,9,12288,bf16,bf16,16,7.04,7.04,dense,0,0,0,1,2.0445,11925,5.7,1.9,high
14,4608,25,72,64,72,12288,bf16,bf16,16,6.67,6.67,dense,0,0,0,1,2.0449,12899,5.0,2.2,high
15,4608,29,72,64,18,12288,bf16,bf16,16,6.76,6.76,dense,0,0,0,1,2.0456,12546,5.4,1.9,high
16,4608,27,72,64,36,12288,bf16,bf16,16,6.6,6.6,dense,0,0,0,1,2.0461,13251,5.1,2.0,high
17,6144,19,48,128,12,16384,bf16,bf16,16,7.92,7.92,dense,0,0,0,1,2.0465,12322,4.1,2.2,high
18,4608,30,72,64,9,12288,bf16,bf16,16,6.82,6.82,dense,0,0,0,1,2.0469,12321,5.5,1.8,high
19,4608,28,72,64,18,12288,bf16,bf16,16,6.54,6.54,dense,0,0,0,1,2.0484,12993,5.2,1.8,high
20,6144,18,48,128,24,16384,bf16,bf16,16,7.87,7.87,dense,0,0,0,1,2.0485,12656,4.1,2.3,high
21,4608,24,72,64,72,12288,bf16,bf16,16,6.41,6.41,dense,0,0,0,1,2.0486,13435,4.8,2.1,high
22,4608,29,72,64,9,12288,bf16,bf16,16,6.61,6.61,dense,0,0,0,1,2.0494,12745,5.3,1.8,high
23,4608,26,72,64,72,12288,bf16,bf16,8,6.92,6.92,dense,0,0,0,1,2.0517,12404,5.1,2.0,high
24,6144,18,48,128,12,16384,bf16,bf16,16,7.53,7.53,dense,0,0,0,1,2.0532,13004,3.9,2.1,high
25,4608,25,72,64,72,12288,bf16,bf16,8,6.67,6.67,dense,0,0,0,1,2.0550,12899,4.9,1.9,high
26,4608,28,72,64,72,12288,bf16,fp8,16,7.43,7.43,dense,0,0,0,1,2.0557,21841,5.0,1.4,high
27,4608,31,72,64,36,12288,bf16,fp8,16,7.54,7.54,dense,0,0,0,1,2.0558,21393,5.3,1.2,high
28,6144,17,48,128,24,16384,bf16,bf16,16,7.45,7.45,dense,0,0,0,1,2.0558,13399,3.8,2.2,high
29,4608,27,72,64,36,12288,bf16,bf16,8,6.6,6.6,dense,0,0,0,1,2.0562,13251,5.1,1.8,high
30,4608,30,72,64,36,12288,bf16,fp8,16,7.3,7.3,dense,0,0,0,1,2.0582,22104,5.1,1.2,high
31,4608,28,72,64,18,12288,bf16,bf16,8,6.54,6.54,dense,0,0,0,1,2.0585,12993,5.2,1.8,high
32,4608,27,72,64,72,12288,bf16,fp8,16,7.17,7.17,dense,0,0,0,1,2.0586,22647,4.8,1.4,high
